Symbol,EntrezGene ID,Description,Imported ID,Fold Change,P-Value,Test Expression,Control Expression,Rank
Mpp6,362359,"membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)",1380062_at,-1.68,7.70E-07,2127.9,3568.3,352
Ptprd,313278,"protein tyrosine phosphatase, receptor type, D",1376619_at,-1.67,2.10E-07,2533,4221.5,368
Mettl7a,315306,methyltransferase like 7A,1371479_at,-1.67,0.0008,1320.7,2206,368
Slc41a2,362861,"solute carrier family 41, member 2",1384934_at,-1.67,2.40E-05,1234.8,2057.4,368
BF398558,NA, ,1381732_at,-1.67,0.0005,84.2,140.5,368
BI293437,NA, ,1381246_at,1.67,0.0074,1174.7,702.7,368
BF418531,NA, ,1379228_at,-1.67,2.60E-05,220.8,369.9,368
BF393011,NA, ,1396542_at,-1.67,0.0019,1894,3166.7,368
Nog,25495,noggin,1371052_at,-1.67,0.0009,1786,2980.8,368
Ntm,50864,neurotrimin,1368255_at,-1.67,0.0002,1359.9,2268.3,368
Wnt4,84426,"wingless-type MMTV integration site family, member 4",1368641_at,-1.67,0.0186,3299.1,5524.4,368
Serpinb1a,291091,"serine (or cysteine) proteinase inhibitor, clade B, member 1a",1377034_at,1.67,0.0102,667,399.2,368
Etv5,303828,ets variant 5,1383447_at,-1.67,0.0005,493.1,826,368
Dpyd,81656,dihydropyrimidine dehydrogenase,1367994_at,-1.66,0.0002,491.9,816,380
Cish,83681,cytokine inducible SH2-containing protein,1378586_at,1.66,2.20E-07,657.5,396.1,380
Bhlhe41,117095,"basic helix-loop-helix family, member e41",1368511_at,1.66,0.0052,25760.7,15560,380
Gpm6b,192179,glycoprotein m6b,1370389_at,1.66,0.0027,1294.3,779.1,380
Cd48,245962,Cd48 molecule,1370891_at,1.66,0.0056,641.4,385.4,380
Camk2n1,287005,calcium/calmodulin-dependent protein kinase II inhibitor 1,1389876_at,-1.66,0.0006,711.6,1182.7,380
Rassf4,362423,Ras association (RalGDS/AF-6) domain family member 4,1374284_at,1.66,0.0012,299.2,180.3,380
BF291161,NA, ,1389388_at,-1.66,1.30E-05,3499.8,5816,380
AI406271,NA, ,1374241_at,-1.66,0.0019,3678.5,6112.2,380
1390170_at,NA, ,1390170_at,-1.66,6.90E-05,3130.9,5189.8,380
BG664147,NA, ,1371406_at,1.65,0.0032,8308.1,5027.6,390
