Symbol,EntrezGene ID,Description,Imported ID,Fold Change,Meta-qvalue,Rank
SCML1,6322,sex comb on midleg-like 1 (Drosophila),SCML1,-33.0546,0.0005,282
ERBIN,55914,erbb2 interacting protein,ERBB2IP,-33.0241,0.0005,283
VSTM4,196740,V-set and transmembrane domain containing 4,AK001062,-32.9504,0.0006,284
IRAK3,11213,interleukin-1 receptor-associated kinase 3,IRAK3,-32.9364,0.0006,285
GRAMD1C,54762,GRAM domain containing 1C,GRAMD1C,-32.8886,0.0006,286
CALML5,51806,calmodulin-like 5,CALML5,-32.6403,0.0006,287
NUCKS1,64710,nuclear casein kinase and cyclin-dependent kinase substrate 1,NUCKS1,-32.4409,0.0006,288
SAMD4A,23034,sterile alpha motif domain containing 4A,SAMD4A,-32.3441,0.0006,289
PLSCR4,57088,phospholipid scramblase 4,PLSCR4,-32.297,0.0006,290
PHF7,51533,PHD finger protein 7,PHF7,-32.0795,0.0007,291
HP,3240,haptoglobin,HP,-32.0506,0.0007,292
CXorf21,80231,chromosome X open reading frame 21,CXorf21,-31.8105,0.0007,293
ZNF395,55893,zinc finger protein 395,ZNF395,-31.8073,0.0007,294
CRB1,23418,crumbs homolog 1 (Drosophila),CRB1,-31.7435,0.0007,295
ARHGEF26,26084,Rho guanine nucleotide exchange factor (GEF) 26,SGEF,-31.7217,0.0007,296
PPP1R10,5514,"protein phosphatase 1, regulatory subunit 10",PPP1R10,-31.6589,0.0007,297
DNAAF5,54919,HEAT repeat containing 2,HEATR2,-31.3449,0.0008,298
G6PC3,92579,"glucose 6 phosphatase, catalytic, 3",G6PC3,-31.2871,0.0008,299
TNS1,7145,tensin 1,TNS1,-31.22,0.0008,300
SCARA3,51435,"scavenger receptor class A, member 3",SCARA3,-31.0528,0.0009,301
PSMC3IP,29893,PSMC3 interacting protein,PSMC3IP,-30.9142,0.0009,302
ZNF394,84124,zinc finger protein 394,ZNF394,-30.7827,0.0009,303
TSPAN12,23554,tetraspanin 12,TSPAN12,-30.5968,0.001,304
TRPM3,80036,"transient receptor potential cation channel, subfamily M, member 3",TRPM3,-30.5419,0.001,305
